market,tdx_prefix,stock_code,trade_date,open,high,low,close,amount,volume,source_file
sh,sh,000905.SH,2014-01-14,3610.64,3683.53,3601.99,3683.53,27864934400.0,285651.04,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-15,3681.04,3708.54,3675.64,3708.14,30178562048.0,294791.93,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-16,3709.38,3738.08,3703.19,3714.31,29674608640.0,295833.12,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-17,3704.36,3704.96,3669.59,3671.91,25832781824.0,253252.93,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-20,3666.3,3680.01,3627.65,3644.12,24791855104.0,238057.47,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-21,3645.34,3700.59,3645.34,3700.11,29215574016.0,284978.04,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-22,3707.08,3799.06,3707.03,3799.04,42102247424.0,418490.47,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-23,3801.75,3841.03,3795.48,3825.49,44043321344.0,407058.02,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-24,3817.08,3890.53,3811.14,3882.67,48820002816.0,457907.48,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-27,3867.57,3916.67,3854.87,3881.95,45982998528.0,426368.05,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-28,3882.01,3906.57,3847.03,3873.81,35468333056.0,319465.33,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-29,3878.31,3913.12,3878.31,3908.45,36653826048.0,330083.81,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-01-30,3900.01,3908.61,3877.57,3885.42,30952128512.0,285499.4,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-07,3864.89,3957.93,3854.98,3957.67,37584977920.0,340365.66,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-10,3972.86,4074.63,3972.86,4074.63,62830624768.0,577549.49,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-11,4081.54,4099.77,4031.95,4080.38,66427604992.0,618768.21,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-12,4083.82,4125.71,4064.35,4125.41,60189978624.0,590392.66,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-13,4123.22,4137.59,4064.42,4064.42,62110134272.0,610515.0,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-14,4063.79,4134.23,4060.09,4134.16,52265410560.0,506311.58,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-17,4152.04,4213.14,4152.04,4212.74,65593954304.0,624694.17,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2014-02-18,4216.61,4219.03,4188.07,4207.7,66766225408.0,639132.96,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
