stock_code,trade_date,industry,value_factor,momentum_factor,quality_factor,volatility_factor,turn_factor,ps_ttm,future_return
600098.SH,2026-03-05,D44电力、热力生产和供应业,1.0187853836898573,0.0,0.08534245837656285,0.0,1.1247,0.536888,0.02875816993464042
600109.SH,2026-03-05,J67资本市场服务,1.0808684129176747,0.0,0.07666023257334678,0.0,0.5876,3.790153,-0.002262443438914019
600004.SH,2026-03-06,G56航空运输业,0.8088919878439712,0.0,0.057468070596306514,0.0,0.4111,3.012232,0.016574585635358963
600007.SH,2026-03-06,K70房地产业,0.4734449464012976,0.0,0.059102290580194186,0.0,0.1927,5.296612,0.023749368367862678
600008.SH,2026-03-06,D46水的生产和供应业,0.8920057552211326,0.0,0.07285378929314486,0.0,1.2133,1.193029,0.018867924528301883
600023.SH,2026-03-06,D44电力、热力生产和供应业,1.0215965510900435,0.0,0.0991782388662261,0.0,0.6144,0.912559,-0.0036363636363635488
600038.SH,2026-03-06,C37铁路、船舶、航空航天和其他运输设备制造业,0.5565716079465068,0.0,0.018429607267280688,0.0,2.1829,1.126752,-0.031513175767454604
600060.SH,2026-03-06,C39计算机、通信和其他电子设备制造业,0.6944444444444444,0.0,0.0871403499905017,0.0,0.9064,0.484713,0.010864644635581566
600061.SH,2026-03-06,J67资本市场服务,1.1528985599144088,0.0,0.07447628462840021,0.0,0.4704,2.973563,0.015299026425591
600062.SH,2026-03-06,C27医药制造业,0.5986944868020794,0.0,0.08358393887807451,0.0,0.6123,1.727055,0.006073992269464368
600095.SH,2026-03-06,J67资本市场服务,0.4162168056692058,0.0,0.013803062786447199,0.0,0.9682,12.023436,-0.015810276679841695
600096.SH,2026-03-06,C26化学原料和化学制品制造业,0.3113525684874461,0.0,0.07247733398215044,0.0,5.7127,1.484151,-0.03165159447881971
600098.SH,2026-03-06,D44电力、热力生产和供应业,1.0254443506732556,0.0,0.08590024747861298,0.0,0.8197,0.533402,0.0039215686274509665
600109.SH,2026-03-06,J67资本市场服务,1.0661958345861133,0.0,0.07561959863385632,0.0,0.5732,3.842312,0.008000000000000007
600004.SH,2026-03-09,G56航空运输业,0.8169367323347643,0.0,0.05803957521299218,0.021621621621621512,0.5552,2.982571,0.008762322015334112
600007.SH,2026-03-09,K70房地产业,0.4758372236991681,0.0,0.059400937976451205,0.019326065411298332,0.3134,5.269983,0.030653266331658546
600008.SH,2026-03-09,D46水的生产和供应业,0.8948113469237281,0.0,0.07308289141935964,0.0,1.6397,1.189289,0.018987341772152
600023.SH,2026-03-09,D44电力、热力生产和供应业,1.0178811175927518,0.0,0.09881758826584618,0.012891344383057168,0.855,0.915889,-0.003663003663003539
600038.SH,2026-03-09,C37铁路、船舶、航空航天和其他运输设备制造业,0.5716918763727752,0.0,0.018930275856523047,0.05469953775038505,2.059,1.096952,-0.05674518201284795
600060.SH,2026-03-09,C39计算机、通信和其他电子设备制造业,0.7089056269384139,0.0,0.08895495276714395,0.01822222222222225,0.9333,0.474825,0.022461814914645162
600061.SH,2026-03-09,J67资本市场服务,1.1673297099419138,0.0,0.07540853137436045,0.027063599458727938,0.4229,2.936802,0.012430939226519389
600062.SH,2026-03-09,C27医药制造业,0.6016698745698812,0.0,0.08399932195747316,0.008757525998905336,0.6883,1.718515,0.0038525041276828986
600095.SH,2026-03-09,J67资本市场服务,0.4223861268121421,0.0,0.014007653557781516,0.03250478011472291,0.7946,11.847826,-0.022439024390243922
600096.SH,2026-03-09,C26化学原料和化学制品制造业,0.31616884301489756,0.0,0.07359847527510742,0.044782905205728585,6.7946,1.461543,-0.049271844660194186
600098.SH,2026-03-09,D44电力、热力生产和供应业,1.0254443506732556,0.0,0.08590024747861298,0.011627906976744207,0.9976,0.533402,-0.011734028683181186
600109.SH,2026-03-09,J67资本市场服务,1.077162538441238,0.0,0.07639739817964863,0.025612472160356448,0.6847,3.803193,0.006810442678774065
600004.SH,2026-03-10,G56航空运输业,0.8097782341328004,0.0,0.05753101396283462,0.001094091903719896,0.4365,3.008937,-0.0010928961748634114
