source_api,metric_id,metric_name,pub_date,available_date,value,expected_value,previous_value
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-04-01,2026-03-02,17.5,0.0,8.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-05-01,2026-03-02,38.3,0.0,17.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-06-01,2026-03-02,44.3,0.0,38.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-07-01,2026-03-02,9.0,0.0,44.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-08-01,2026-03-02,18.2,0.0,9.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-09-01,2026-03-02,24.1,0.0,18.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-10-01,2026-03-02,17.5,0.0,24.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-11-01,2026-03-02,19.9,0.0,17.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1988-12-01,2026-03-02,4.9,0.0,19.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-01-01,2026-03-02,12.5,0.0,4.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-02-01,2026-03-02,4.7,0.0,12.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-03-01,2026-03-02,6.9,0.0,4.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-04-01,2026-03-02,11.3,0.0,6.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-05-01,2026-03-02,-1.5,0.0,11.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-06-01,2026-03-02,0.8,0.0,-1.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-07-01,2026-03-02,13.2,0.0,0.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-08-01,2026-03-02,14.3,0.0,13.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-09-01,2026-03-02,19.8,0.0,14.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-10-01,2026-03-02,19.2,0.0,19.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-11-01,2026-03-02,8.4,0.0,19.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1989-12-01,2026-03-02,20.6,0.0,8.4
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-01-01,2026-03-02,-6.1,0.0,20.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-02-01,2026-03-02,1.1,0.0,-6.1
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-03-01,2026-03-02,11.5,0.0,1.1
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-03-01,2026-03-02,5.0,0.0,0.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-04-01,2026-03-02,19.3,0.0,11.5
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-04-01,2026-03-02,0.8,0.0,5.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-05-01,2026-03-02,21.9,0.0,19.3
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-05-01,2026-03-02,1.7,0.0,0.8
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-06-01,2026-03-02,11.4,0.0,21.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-06-01,2026-03-02,3.3,0.0,1.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-07-01,2026-03-02,21.3,0.0,11.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-07-01,2026-03-02,5.0,0.0,3.3
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-08-01,2026-03-02,16.2,0.0,21.3
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-08-01,2026-03-02,2.5,0.0,5.0
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-09-01,2026-03-02,14.4,0.0,16.2
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-09-01,2026-03-02,4.2,0.0,2.5
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-10-01,2026-03-02,7.4,0.0,14.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-10-01,2026-03-02,6.7,0.0,4.2
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-11-01,2026-03-02,26.8,0.0,7.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-11-01,2026-03-02,10.9,0.0,6.7
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1990-12-01,2026-03-02,14.4,0.0,26.8
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1990-12-01,2026-03-02,12.6,0.0,10.9
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-01-01,2026-03-02,36.9,0.0,14.4
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-01-01,2026-03-02,12.6,0.0,12.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-02-01,2026-03-02,40.1,0.0,36.9
akshare.macro_china_industrial_production_yoy,industrial_production_yoy,china_industrial_production_yoy,1991-02-01,2026-03-02,23.5,0.0,12.6
akshare.macro_china_exports_yoy,exports_yoy,china_exports_yoy,1991-03-01,2026-03-02,24.9,0.0,40.1
